kind	source	original_sha256	committed_path	redacted_sha256	changed_by_redaction
ledger	ogz-meta/cognition-history/mercury-runs/2026-09-01.jsonl:6	01a2af83ccd2af5f6e2c7f45d0a28370bc750690a6b3fb092896f0edf64d3aa1	tapes/ledger/line-6.jsonl	01a2af83ccd2af5f6e2c7f45d0a28370bc750690a6b3fb092896f0edf64d3aa1	no
ledger	ogz-meta/cognition-history/mercury-runs/2026-09-01.jsonl:7	92c1dd86f351f3734c791ecb0d6575ea833b4173c242d2e59c22b8d888caeabb	tapes/ledger/line-7.jsonl	92c1dd86f351f3734c791ecb0d6575ea833b4173c242d2e59c22b8d888caeabb	no
ledger	ogz-meta/cognition-history/mercury-runs/2026-09-01.jsonl:8	24ec71ba81ad71693ed9dc18a1cb0cbea59a205e13d4f9ee2f7e7be13a6e84a5	tapes/ledger/line-8.jsonl	24ec71ba81ad71693ed9dc18a1cb0cbea59a205e13d4f9ee2f7e7be13a6e84a5	no
ledger	ogz-meta/cognition-history/mercury-runs/2026-09-01.jsonl:9	b93ff5d0ea144fe47c1a5cb02573bf52a2330d361eeab570bf1fa6e8883e0aec	tapes/ledger/line-9.jsonl	b93ff5d0ea144fe47c1a5cb02573bf52a2330d361eeab570bf1fa6e8883e0aec	no
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-20-14-081z-1640853-128fc953d195/fable_challenger-2.raw	e00f708c83e60175817dcbc03946d79266400b965e856606b9b57f01c072ee3b	tapes/preflight/fable_challenger-2.raw	a998c2a627a8b3a19b16ac71fde860947973b09ac422faf90c8b0f119b1a0a01	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-20-14-081z-1640853-128fc953d195/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	tapes/preflight/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	no
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-20-14-081z-1640853-128fc953d195/kimi_tie_breaker-3.raw	38fffff920a98f933d37ef9f2192c6a143bdcf43f67a565f9516123bba2234aa	tapes/preflight/kimi_tie_breaker-3.raw	38fffff920a98f933d37ef9f2192c6a143bdcf43f67a565f9516123bba2234aa	no
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-20-14-081z-1640853-128fc953d195/mercury-1.raw	1eeadac28e2f9057b62bfef025b86e944c1d3f9d71f347cf38b5997f537e3a45	tapes/preflight/mercury-1.raw	bf6e8fa65927c1888b832f1cf580c28888ce9780246908a9be28ddea43e3268d	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/fable_challenger-1.raw	cac8d05adec4d8139f275ed227b6dcc9b435ca4e7e3a88af6c65c2ba9c083927	tapes/before/fable_challenger-1.raw	da600e47142855fb16270968209c60893dadace7125b91292e5f616e5814846b	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	tapes/before/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	no
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/kimi_tie_breaker-1.raw	cf2b28f880405edbf4d97e56f0e3518d401577f6ed54c78dc44cf4ee50658f19	tapes/before/kimi_tie_breaker-1.raw	34822273eaa7961c05ea77bb4e9285d497a3bd7808b7712ddd16179c0f9180dd	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-1.raw	c7642f0eb179929ed21f747a465a9893499e6164600361cd15d2203c559fcdfe	tapes/before/mercury-1.raw	75444b23ea5e2c6e3e3ff9008744bb2483499f7ea9809073d1fd206b0144015f	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-10.raw	810088f55b010eadfef77bf1600236d1ffdb61d853eb82c2ebfc861ec9009bbc	tapes/before/mercury-10.raw	f75a4013b74770df2f435025e3fa188a1265c1e2fdd1428fef484689aec22c75	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-11.raw	0269ef77b621457b68ab4dc21495f777c7c567cbf84ad8f8f3cb1983e31a2d45	tapes/before/mercury-11.raw	88d2aec3693a6d4f055df7dac9314352e36524c2cf64b89dc72400693286116f	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-12.raw	510ef1ad1683f1ae512a9187af20f086a1b9856f5a0fabd376e35530b95f445a	tapes/before/mercury-12.raw	eef6ff04e101200696ffa22f736892ff1c13e254033d3293fc7700ff9d9150c9	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-13.raw	45b514a3e560771e702cfb7c39e8d1b8c2a656032fb820cfe51ea4c5625b9052	tapes/before/mercury-13.raw	7e01bf34fafcff907703123a8ccb585b5aebe5f4bd0cc9bb8592ecc028e7fb5f	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-14.raw	c2edf16baf344a3d7bb4298cb213a217113c4711a889e690683fea98a44a9b1f	tapes/before/mercury-14.raw	9c3f393d934e1f6319cf93266bafe943093a73211a93f1fc1b9dda15108fc329	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-2.raw	93f02d708ca722b6431ab65391d09cdb282b3b67be4da161b73d087b5aa35b7c	tapes/before/mercury-2.raw	57fed369a27a3529b88875df6173dda47a9ef7789c5699b622cdeb1ac1a862bf	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-3.raw	88851333475a422d6306222085791e4296e07598afc10f4b1d59c9dea7ffea69	tapes/before/mercury-3.raw	2849b334342345ffa77180380fb1b31e95a1ceb15a18c868937b3912956e3243	yes
provider_raw	ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t01-21-01-200z-1641022-94ebdcbc57ae/mercury-4.raw	8850c1d55215834c5ad03f9d34e3ac562e518826dc0a4247024deefa50057549	tapes/before/mercury-4.raw	3ca6e389ab0928572c4a5f696e3fee37fd4193a6cd1790470f0857a35d1d5c42	yes
