source	original_sha256	original_bytes	committed_path	redacted_sha256	redacted_bytes
ogz-meta/cognition-history/mercury-runs/2026-09-01.jsonl:1	0c06d7916db946447f114f084fbefa1c72e210d21276fe8d237d067c4e18b787	13173	tapes/ledger/line-1.jsonl	0c06d7916db946447f114f084fbefa1c72e210d21276fe8d237d067c4e18b787	13173
ogz-meta/cognition-history/mercury-runs/2026-09-01.jsonl:2	462c920da740955fa1b898e8db2a4458f22f1d8285aaf9837bd9fb3457b6e958	551940	tapes/ledger/line-2.jsonl	462c920da740955fa1b898e8db2a4458f22f1d8285aaf9837bd9fb3457b6e958	551940
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-16-50-773z-1655434-a3735222d071/fable_challenger-2.raw	29d42dc793681315a232067f30a1245d4f5de1b1a8b35350e18fbc21da8b4da8	4789	tapes/preflight/fable_challenger-2.raw	7719db8acda2b1fe621f23a8c8ff9bbac43bb15d8dedd8c3267ad83501a2136f	4032
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-16-50-773z-1655434-a3735222d071/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	tapes/preflight/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-16-50-773z-1655434-a3735222d071/kimi_tie_breaker-3.raw	a16c7aa9d70018b8e20cb2f8bee4bc242f026410befa36426e2381d87aa12d37	282	tapes/preflight/kimi_tie_breaker-3.raw	d357b6edfe7a7eaacfbc97210b6d9417cd54ec3eca02a4887e4885ba3aa95b80	259
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-16-50-773z-1655434-a3735222d071/mercury-1.raw	0e80d4ec0f2804afdba3dfe3cd1fac23dfe6e2367053d3a18917de2106087efc	466	tapes/preflight/mercury-1.raw	6a7ee7b1aee79436edda74d18557f4b5f107e22352794bdd3026d0993bf856b7	431
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-17-33-263z-1655610-542734aaee83/fable_challenger-1.raw	127f871288bf78fcefe72de2125e63a5843106214d4a474e2ec3ff74602262c6	26347	tapes/review/fable_challenger-1.raw	650bd1dc33a2d6f76d986f738bf023e575aca7d3a5b5b3deb0687a7b266e4b77	19020
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-17-33-263z-1655610-542734aaee83/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	tapes/review/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-17-33-263z-1655610-542734aaee83/kimi_tie_breaker-1.raw	d6502cf336e0e17db71f88e70cab680709d89d60359ec22ba1481a041c848319	4381	tapes/review/kimi_tie_breaker-1.raw	b707bef8b51294961f1e17f638687fb25fd8a80498fb8446446a6480c0c7e773	4358
ogz-meta/cognition-history/mercury-runs/raw/2026-09-01/2026-09-01t03-17-33-263z-1655610-542734aaee83/mercury-1.raw	bd5f8c5fb46acc78a84c6cc5514d65ac278040ece3610415a2aa25c6996f0b17	635	tapes/review/mercury-1.raw	c9c23a66c4365185dbd65c4634bea583361174f478cdb9a8951646431b8babdb	600
